Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Diego Chávez,0.06,0.13,52.63,1.13,0,0,1.44,0.56,0,1,0,1,0.13,0.06,15.06,64.73,2.81,42.31,0,0,0,0,1,0.25,0.13,0,42.86,43.7,0.38,0.88,16
Santiago Trigos,0,0,55.56,0.43,0,0,1.79,0.36,0,0.57,0,0.71,0,0.07,20.29,81.34,3.5,38.1,0,0.21,0,0,0.07,0.07,0.14,0.07,46.67,43.33,0.14,1.5,14
David Ramírez,0,0,45.45,0.17,0,0,0.39,0.22,0.06,0.5,0,0.39,0,0,20.67,87.1,5.06,55.56,0,0,0,0,0.39,0.06,0,0,46.67,49.15,0.56,0.17,18
Agustín Oliveros,0,0,33.33,0.71,0,0,0.71,0.43,0,1.57,0,0.14,0.14,0.14,21.14,69.59,5,41.67,0,0.14,0,0,1,0.29,0,0,44.44,51.28,0.86,0.86,7
Carlos Orrantia,0,0,50,0.33,0,0,0.78,0.56,0,0.78,0,0.44,0.11,0,14.78,84.21,2.78,50,0,0.11,0,0,0.33,0,0,0,40,48,0.22,0.22,9
Jonathan Padilla,0.17,0.06,58.82,0.89,0,0,1.17,0.22,0,0.11,0,0.89,0,0,10.78,74.23,3.28,54.55,0,0,0,0,0.44,0.17,0.11,0,15.38,42.15,0.44,0.89,18
Emilio Lara,0,0,0,0,0,0,0.8,1.4,0,1.8,0,0.4,0,0,26.8,85.82,2.2,10,0,0,0,0,0.8,0,0.2,0,66.67,61.11,0.2,0.4,5
Raúl Martínez,0,0,50,0.2,0,0,0.8,0.6,0.2,3,0,0.2,0,0,18.6,76.34,1.4,50,0,0.2,0,0,0.4,0,0,0,46.67,51.61,1,1,5
Moisés,0.06,0.12,54.17,1.18,0,0,0.24,0.06,0,0.12,0,0.29,0.18,0.06,12.29,80.38,4.29,88.24,0,0,0,0,0.71,0.35,0,0,33.33,40.95,0.29,0.29,17
Omar Campos,0,0,50,0.42,0,0,2.79,0.95,0,1.42,0,1.42,0.16,0.05,29.21,79.28,4.79,50,0,0.11,0,0,1.63,0.32,0.21,0,54.55,54.82,0.95,0.74,19
