Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Vasco Fernandes,0,0.03,50,0.17,0,0,0.77,1.1,0,3.77,0,0.3,0.03,0,42.23,86.82,2.9,48.1,0,0.33,0,0,0.87,0.07,0.17,0,66,64.75,0.7,0.43,30
Daniel Figueira,0,0,0,0,0,0,0,0,0.03,0.72,0,0.03,0,0,30.03,73.78,0.56,40.96,3.28,0.25,0.31,0.06,1.16,0.13,0.06,0.03,75,72.73,0.16,0.03,32
Morlaye Sylla,0.12,0.06,56.67,1.18,0,0,1.33,0.82,0,0.55,0,0.88,0.18,0.12,30.91,81.96,8.94,59.14,0,0.27,0,0,0.58,0.09,0.09,0,41.3,45.11,0.7,1.36,33
Miguel Maga,0,0.04,18.18,0.17,0,0,2.71,1.67,0,1.75,0,1.13,0.13,0.08,31.83,79.84,7.54,41.82,0,0.29,0,0,0.88,0.13,0.17,0,52.38,52.53,0.63,1.17,24
Odysseas Vlachodimos,0,0,0,0,0,0,0,0,0,0.74,0,0.03,0,0,19.62,80.36,0.38,47.86,1.62,0.59,0.06,0,0.53,0.06,0.06,0,100,94.74,0.35,0,34
Diego Lainez,0.17,0,37.5,1.33,0,0,0.5,0.17,0,0,0,0.17,0.17,0.33,13.83,91.57,6.17,100,0,0,0,0,0.17,0,0.5,0,100,53.85,1.17,0.5,6
Costinha,0.09,0.12,35.94,0.79,0.06,0,3.21,1.24,0.06,1.82,0,1.24,0.27,0.09,31.09,73.59,6.06,36.52,0,0.27,0,0,0.94,0.18,0.15,0,46.67,50.44,1.58,1.48,33
João Carvalho,0.03,0,47.37,1,0,0,1.83,0.55,0,0.41,0.03,0.97,0.17,0.07,34,83.57,8.34,69.29,0,0.1,0,0,1,0.1,0.21,0.03,40.91,50.68,1.07,1.1,29
Cristian Tassano,0.08,0.08,50,0.77,0,0,1.69,1.54,0.08,4.23,0,0.15,0,0,30.62,85.43,0.92,50,0,0.23,0,0,0.85,0.08,0.31,0.08,50,54.44,0.69,1.38,13
Kiki Afonso,0.04,0,51.72,0.71,0,0,1.68,1.64,0,2.46,0,0.5,0.04,0,32.79,70.81,5.68,35.86,0,0.18,0,0,0.68,0.21,0.36,0,56.25,56.96,1.32,1.46,28
Sebastián Pérez,0.1,0,40,0.45,0.07,0,2.45,1.38,0,0.72,0,1.62,0,0,54.86,87.81,7.21,63.78,0,0.1,0,0,1.17,0.03,0.31,0.03,37.04,51,1.38,1.38,29
Raphael Guzzo,0.07,0.07,50,0.83,0,0,2.13,1.13,0.03,0.83,0,0.9,0.13,0.1,52.13,84.14,8.97,53.49,0,0.13,0,0,0.8,0.13,0.27,0.03,45.45,51.72,1,1.27,30
