#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
334,,Joao Villamarin,0.07,0,7.13,73.83,2.4,25
335,,Carlos Uribe,0,0,36.58,80.34,7.26,43.12
336,,Carlos Junior Huerto,0.08,0,8.33,74,2.17,38.89
337,,Mathias Llontop,0,0,20.67,71.29,2.6,25
338,,Junior Morales,0,0,12.47,75.94,1,52.31
339,,Jesús Pretell,0,0,9.48,85.43,1.71,64.71
340,,Carlos Correa,0.04,0.18,16.79,70.21,3.43,43.37
341,,Martín Parra,0.11,0,35.67,61.99,2.78,42.86
342,,Alexander Lecaros,0.13,0,6.47,73.2,1.8,11.11
343,,Oshiro Takeuchi,0.07,0.07,15,77.62,3.07,28.57
344,,Tiago Cantoro,0,0,0.75,33.33,0,0
345,,Paolo Méndez,0,0,26,77.88,3.5,57.14
346,,Kevin Peña,0,0,36.77,83.95,8.2,66.67
347,,Oswaldo Valenzuela,0,0.09,17.91,84.26,3.64,53.57
348,,José Bustamante,0,0,4.5,88.89,1.5,100
349,,Josimar Atoche,0,0,21.5,82.56,3.88,33.33
350,,Carlos Vidal Arroyo Molina,0,0,9.5,69.3,2.25,54.55
351,,Rodrigo Vilca,0.05,0.05,10.95,77.83,2.9,62.5
352,,Arquímedes Figuera,0,0.04,42.67,84.38,6.04,64.83
353,,Edgar Benítez,0.21,0.14,15.21,79.81,4,35.71
354,,Paolo Hurtado,0,0,12.71,77.53,4,47.06
355,,Rafael Guarderas,0,0,20.2,81.52,3.4,29.03
356,,Gustavo Viera,0.03,0.03,38.59,77.84,6.93,46.45
357,,Piero Serra,0,0,12,73.08,2.23,50
358,,Jorge Toledo,0.06,0,28.88,72.91,4.88,34.82
359,,Kleiber Palomino,0.11,0,4,80.56,1.44,0
360,,Oslimg Mora,0,0,14.73,77.83,3.93,50
361,,Christian Vasquez,0,0,22,70.45,3.25,35
362,,Jose Inga,0,0,24.12,79.77,3.68,54.22
363,,Christian Vargas,0.05,0,8.68,80,2.11,56.25
364,,Wilmer Aguirre,0,0,7.7,82.49,3.09,40
365,,Orlando Nuñez,0,0.04,18.7,78.6,3.61,52.17
366,,Jesus Mendieta,0.1,0.05,26.19,64,4.52,30.47
367,,Maximiliano Freitas,0,0.54,6.69,62.07,1.46,50
368,,Mathías Techera,0,0,25.2,73.02,2.2,52.83
369,,Darlin Leiton,0,0.13,4.75,89.47,2.25,0
370,,Erick Morillo,0.05,0.05,16.9,80.47,3.95,35.71
371,,Freddy Oncoy,0,0,12.38,87.88,2.5,57.14
372,,Robinson Alzamora,0,0,18.75,69.33,0.63,28.21
373,,Ronald Quinteros,0,0,16.35,83.76,2.5,57.45
374,,Paolo De La Haza,0,0,27.44,75.71,1.89,44.07
375,,Juan Barreda,0,0,23.67,81.69,1.44,55.56
376,,Michael Rasmussen,0,0,9.73,78.5,2.09,50
377,,Jorge Molina,0,0,20,75.91,2.55,45.83
378,,Jorge Bazan,0.04,0.04,21.92,83.33,7.85,40
379,,Stefano Fernández,0.05,0,18.32,81.03,2.63,50
380,,Pedro Bautista,0,0.5,10,70,4,0
381,,Carlos Neyra,0.13,0.13,19,63.82,2.88,24.24
382,,Edinson Chavez,0.11,0.06,28.56,71.79,7.11,40
383,,Jorge Tandazo,0,0,4,50,0,0
384,,Jerry Navarro,0,0,10,90,5,0
385,,Axel Domínguez,0,0,4,100,2,0
386,,Jean Pierre Vilchez,0,0,3,100,0,0
387,,Luis Duque,0,0,18.5,75.68,2,50
388,,Víctor Salas,0,0,15.67,51.06,0.67,15.79
389,,Roberto Villamarín,0.05,0.1,24.71,65.9,4.29,37.65
390,,Leonardo Mifflin,0,0.11,24.72,75.51,3.17,31.91
391,,Jose Carlos Fernandez,0,0.04,8.56,59.35,1.72,33.33
