#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
422,,Fedde Leysen,0.06,0,55,0.53,0.03,0
423,,Matteo Dams,0,0,0,0,0,0
424,,Toshio Lake,0.13,0.04,27.78,0.96,0,0
425,,Pieter Bogaers,0,0,50,0.32,0,0
426,,Bradly Van Hoeven,0.04,0,37.78,0.67,0,0
427,,Mart Remans,0.17,0.1,27.78,1.31,0,0
428,,Chardi Landu,0.17,0.33,40,1.17,0,0
429,,Dante Sealy,0.04,0.19,54.29,0.93,0,0
430,,Jesse van de Haar,0.17,0.17,100,0.83,0,0
431,,Javier Vet,0.03,0,72.73,0.52,0,0
432,,Lucas Vankerkhoven,0,0,100,0.29,0,0
433,,Thomas Marijnissen,0.08,0.08,23.53,1.31,0,0
434,,Mihkel Ainsalu,0.08,0,25,0.42,0,0
435,,Danny Post,0,0,0,0.11,0,0
436,,Rico Zeegers,0,0,60,0.14,0,0
437,,Antonio Satriano,0.17,0,33.33,0.83,0,0
438,,Elso Brito,0.04,0,38.89,0.36,0,0
439,,Enzo Geerts,0,0.11,77.78,0.67,0,0
440,,Abdenego Nankishi,0.18,0.18,50,0.91,0,0
441,,Benjamin Reemst,0,0,63.27,0.26,0,0
442,,Silvinho Esajas,0.08,0,38.46,0.5,0,0
443,,Anis Yadir,0.2,0.2,33.33,0.4,0,0
444,,D'Leanu Arts,0,0,40,0,0,0
445,,Kasper Lunding,0,0,50,0.4,0,0
446,,Thomas Beekman,0,0,0,0.25,0,0
447,,Asier Cordoba Querejeta,0.08,0,63.16,0.92,0,0
448,,Eros Maddy,0.03,0.03,49.45,0.4,0,0
449,,Roland Baas,0,0,0,0.2,0,0
450,,Jaymillio Pinas,0.1,0.03,31.25,0.93,0.03,0
451,,Finn Stam,0.04,0,57.14,0.43,0,0
452,,Jayden Addai,0.06,0,30,0.94,0,0
453,,Sem Dirks,0,0,50,0.21,0,0
454,,Leroy Labylle,0,0,66.67,0.04,0,0
455,,Gaetan Bosiers,0,0,28.57,0.53,0,0
456,,Trevor David,0.1,0,45.45,0.45,0.05,0
457,,Daijiro Chirino,0.03,0,31.58,0.17,0,0
458,,Albert Lottin,0.22,0,51.22,0.89,0.11,0
459,,Jayen Gerold,0,0,50,0.33,0,0
