#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
360,,Gökdeniz Bayrakdar,0,0,9.54,79.84,3.15,20
361,,Nihad Mujakić,0,0,52.34,83.7,3.13,42.13
362,,Burak Bekaroğlu,0,0,44.8,79.02,3.4,43.18
363,,Ognjen Vranješ,0,0,44.07,84.11,1.93,37.5
364,,Ziya Erdal,0,0,35.71,85.34,5.59,47.95
365,,Gökhan Sazdağı,0.16,0.16,27.06,77.23,4.9,52.81
366,,Brandley Kuwas,0.19,0.15,13.67,79.13,5.04,68
367,,Clinton N'Jie,0.17,0,16.83,75.61,4.93,58.62
368,,Salih Dursun,0.05,0.05,14.73,79.32,1.77,50
369,,Ruud Boffin,0,0,29.57,72.95,1.86,43.3
370,,Onurcan Piri,0,0,25.7,57.19,0.35,28.16
371,,Mehdi Boudjemaa,0.05,0,22.05,82.34,5.58,58.33
372,,Lazar Marković,0.04,0.07,18.44,75.1,5.48,60
373,,Hakan Arslan,0,0,18.66,80.59,3,62.07
374,,Jesé Rodríguez,0.07,0.07,11.14,70.51,3.79,44.44
375,,Fedor Kudryashov,0,0,43.08,88.21,2.85,54.41
376,,Kadir Seven,0,0,18.13,77.21,1.27,28.57
377,,Giorgi Beridze,0.1,0.07,14.38,74.1,4.66,52.94
378,,Demeaco Duhaney,0.11,0,36.78,82.02,6.78,44.23
379,,Idrissa Doumbia,0.04,0.04,34.88,91.17,8.08,59.46
380,,Domagoj Pavičić,0,0,11.29,87.34,3.43,25
381,,Mustafa Eskihellaç,0,0,18.89,78.83,5.53,31.58
382,,Mamadou Fall,0.12,0.09,13.97,65.89,4.12,20
383,,Junior Caiçara,0.08,0.08,30.75,85.91,8.25,59.26
384,,Strahil Popov,0.09,0.05,41.09,76.66,8.23,37.5
385,,Famara Diédhiou,0,0,5,80,2.5,0
386,,Muhammet Arslantaş,0,0,3.5,100,1,0
387,,Taha Altıkardeş,0,0,33.33,88,2,50
388,,Admir Mehmedi,0,0,10.3,73.79,3.1,0
389,,Jeffrey Bruma,0,0,42.1,84.09,3.1,50.85
390,,Murat Cem Akpinar,0.07,0,13.3,81.7,3.1,52.78
391,,Endri Çekiçi,0.05,0,19.85,80.1,6.65,53.33
392,,Raoul Petretta,0,0,26,81.2,3.89,27.27
393,,Yasin Güreler,0,0,23.71,74.4,2.79,29.41
394,,Serkan Göksu,0.07,0,35.07,81.61,7.9,56.78
395,,Ramazan Civelek,0.07,0.07,19.52,83.39,5.14,56.25
396,,Mert Çetin,0,0,34.5,87.54,1.2,34.15
397,,Henry Onyekuru,0.11,0.07,10.68,73.24,4.21,43.75
398,,Emrecan Uzunhan,0.07,0.13,33.4,85.83,2.47,41.3
399,,Adel Bettaieb,0,0,9.24,77.32,2.95,56.25
