#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
378,,Demeaco Duhaney,0.28,0,39.39,48.57,0.83,0.72
379,,Idrissa Doumbia,0.36,0,42.86,49.59,0.2,0.76
380,,Domagoj Pavičić,0,0,33.33,55,0.43,0.43
381,,Mustafa Eskihellaç,0.11,0,34.48,52.32,1.05,0.68
382,,Mamadou Fall,0.18,0,30.1,39.01,1.29,1.21
383,,Junior Caiçara,0.17,0,28.57,37.74,0.33,1
384,,Strahil Popov,0.05,0,53.57,54.33,0.27,0.64
385,,Famara Diédhiou,0,0,100,40,0,0.5
386,,Muhammet Arslantaş,0,0,25,37.5,0.5,0.5
387,,Taha Altıkardeş,0,0,25,33.33,0,0.33
388,,Admir Mehmedi,0.1,0,41.67,54.17,1,0.5
389,,Jeffrey Bruma,0.1,0,58.06,55.36,0.4,1.2
390,,Murat Cem Akpinar,0.13,0,30.77,47.9,0.57,0.77
391,,Endri Çekiçi,0.15,0,50,45.71,0.95,0.95
392,,Raoul Petretta,0.44,0,50,47.83,0.67,1.56
393,,Yasin Güreler,0.29,0,51.61,49.59,0.36,1.43
394,,Serkan Göksu,0.28,0,47.92,47.01,0.9,1
395,,Ramazan Civelek,0.07,0,5.88,38.1,0.28,0.38
396,,Mert Çetin,0.2,0,52.94,52.63,0.4,0.7
397,,Henry Onyekuru,0.18,0,23.53,38.46,0.93,0.61
398,,Emrecan Uzunhan,0.07,0.07,66.67,60.82,0.67,0.87
399,,Adel Bettaieb,0.05,0,44.44,45.28,0.9,0.48
400,,Davide Biraschi,0.14,0.03,62.5,54.22,0.79,1.45
401,,Britt Assombalonga,0.08,0,45.45,40,0.75,0.67
402,,Valmir Veliu,0.06,0,31.25,41.11,0.25,0.69
403,,Cebrail Karayel,0.06,0,25,51.22,0.44,0.56
404,,Sadik Bas,0,0,100,66.67,0.6,0.6
405,,Arnaud Lusamba,0.04,0,56.25,48.84,0.68,0.86
406,,Yasin Özcan,0.21,0,52.63,50.41,0.32,0.95
407,,Berke Özer,0,0,0,0,0,0
408,,Umut Meraş,0,0,63.64,43.75,0.2,0.67
409,,Rayane Aabid,0.05,0,0,53.41,0.71,0.57
410,,Kevin Varga,0,0,0,31.43,0.09,0.45
