#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
296,,Deok-geun Lim,0.05,0,51.22,46.88,0.35,0.85
297,,Kazuki Kozuka,0.13,0.06,33.33,52.68,1.81,1.19
298,,Dong-yun Jeong,0.11,0,44.83,53.73,0.43,0.46
299,,Rodrigo Bassani,0.18,0,42.86,41.58,0.95,0.68
300,,Walterson Silva,0.18,0,0,35.82,0.73,0.91
301,,Kim Ji-hun,0,0,71.43,59.26,0.4,0
302,,Kang Yun-Gu,0.16,0,41.67,43.48,0.74,0.95
303,,Victor Bobsin,0.27,0.09,28.57,42.39,0.45,1.27
304,,Kun-hee Lee,0.04,0,30.91,36.21,0.38,0.31
305,,Vladislavs Gutkovskis,0.33,0,53.85,43.75,1.67,1.67
306,,Hyeon-cheol Jeong,0,0,0,50,0,0
307,,An Chi-Woo,0,0,0,60,0.33,0.33
308,,Yun-gu Kang,0,0,66.67,55,0,0.17
309,,Seong-won Jang,0.1,0,31.58,46.1,0.83,0.48
310,,Jeon Byung-kwan,0.09,0,30.77,35.66,0.39,1
311,,Jae-Hwan Hwang,0,0,0,40,0,0.27
312,,Park Han-Bin,0.17,0,25,35.71,0.33,0.5
313,,Ji-hyeon Kim,0,0,61.54,48,0.4,0.4
314,,Ryu Kwang-hyun,0.18,0,75,61.11,0.64,0.82
315,,Yool Heo,0.18,0,50.47,42.86,0.3,0.88
316,,Sandro Lima,0.08,0,34.69,32.48,0.75,1.17
317,,Dong-su Lee,0.17,0,77.78,37.04,0.17,1
318,,Young-Jae Seo,0.09,0,30.3,46.5,0.52,0.61
319,,Yong Rae Lee,0.07,0,45,45.65,0.24,0.62
320,,Keun-ho Lee,0.06,0,36.84,41.18,0.59,0.38
321,,Park Se-jin,0.12,0,13.33,40.46,0.36,0.64
322,,Björn Johnsen,0.11,0,64.71,52,0,0.33
323,,Seong-keun Choi,0,0,66.67,60,0,1
324,,Eu-ddeum Lee,0,0,100,60,0.5,0.5
325,,Ki-hun Yeom,0,0,66.67,54.84,1.33,0
326,,Jae-hyeok Oh,0,0,100,40.91,0,0.75
327,,Dong-hyeok Im,0.4,0,56.25,50,0,0.2
328,,Wan-kyu Kwon,0.13,0.13,61.11,44.44,0.13,0.75
329,,Seong-hun Park,0,0,60,62.5,1,0
330,,Park Hyeong-woo,0,0,0,60,0.5,0
331,,Jong-hoon Lee,0,0,0,100,0,0
332,,Geon-woo Park,0,0,66.67,33.33,0,0.5
333,,Se-jin Park,0,0,40,25,0,1.5
334,,Kyeong-jae Kim,0,0,50,50,0,0
335,,Jae-sung Lee,0,0,64.81,65,0.29,0.43
336,,Lee Dong-won,0.13,0,18.18,37.74,0.75,1.13
337,,Jung Ji-Hun,0,0,40,50.88,0.67,0.17
338,,Seung-Won Jeong,0.24,0,39.13,37.93,0.53,0.82
