#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
257,,Randy Schneider,0,0,25,38.71,0.5,1
258,,Lars Villiger,0.27,0,44.44,40.51,0.91,0.82
259,,Alexandre Dias Patricio,0,0,0,0,0,0
260,,Sang-bin Jeong,0.14,0,28.57,33.33,0.14,0
261,,Stephan Seiler,0.31,0,33.33,47.76,0.69,0.62
262,,Dimitri Oberlin,0.25,0,20,40,0.5,1
263,,Florian Kamberi,0.15,0,44.44,34.43,0.38,0.85
264,,Wilfried Gnonto,0.33,0,37.5,40,2.5,1.67
265,,Dennis Iapichino,0.07,0,45.45,55.56,0.47,0.87
266,,Bledian Krasniqi,0.03,0.03,38.46,48.65,1.16,0.63
267,,Fabian Rohner,0.11,0.04,21.88,31.07,0.26,0.56
268,,Aaron Akale,0,0,0,0,0,0
269,,Noah Rupp,0,0,0,100,1,0
270,,Baba Souare,0,0,0,0,0,0
271,,Leon Dajaku,0.08,0.17,40,46.15,0.67,0.58
272,,Mamady Diambou,0.08,0,9.09,36.36,0.25,0.33
273,,Nadjack,0.14,0,41.67,35.9,0.57,1.14
274,,Akaki Gogia,0.5,0,0,12.5,0,2
275,,Dion Kacuri,0,0,77.78,44.12,0.46,0.08
276,,Patrick Sutter,0.08,0,25,43.84,1.08,0.88
277,,Leny Meyer,0,0,37.5,38.1,0.5,0.5
278,,Nando Toggenburg,0,0,0,50,0.5,0.25
279,,Sidiki Camara,0,0,50,37.5,0,0
280,,Laurin Vogele,0,0,0,0,0,0
281,,Jose Aguilar Martinez,0,0,0,25,0,1
282,,François Moubandje,0.25,0,66.67,45,0,0.75
283,,Fabrizio Cavegn,0,0,0,0,0,0
284,,Carmine Chiappetta,0,0,0,43.48,0.33,0.33
285,,Abdel Rachid Zagré,0,0.17,57.14,40.74,0.67,1.5
286,,Varol Tasar,0.33,0,0,41.18,0.67,1
287,,Daniel Afriyie,0,0,0,0,0,1
288,,Alexandros Safarikas,0,0,100,75,0,0
289,,Teruki Hara,0,0,50,41.67,0.42,0.58
290,,Jozef Pukaj,0,0,0,66.67,0.33,0
291,,Adriano Onyegbule,0,0,0,33.33,0,0
292,,Florian Hoxha,0,0,0,33.33,0,0
293,,Ivan Santini,0.36,0.09,39.29,35.19,0.55,0.82
294,,Hugo Vogel,0.33,0,0,38.46,0,0.67
295,,Ruben Dantas,0,0,0,0,0,2
296,,Marvin Akahomen,0,0,0,25,0,0
297,,Ramon Guzzo,0,0,0,0,0,0
298,,Alessandro Casciato,0,0,0,0,0,0
299,,Gilles Richard,0,0,0,0,0,1
300,,Johann Angstmann,0,0,0,0,0,0
301,,Noah Blasucci,0,0,0,0,0,0
