#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
388,,Igor Smolnikov,0.09,0.05,26.41,78.49,4.86,44.44
389,,Evgeniy Markov,0,0.11,13.44,58.68,5.11,42.86
390,,Vladislav Samko,0,0,6.33,89.47,2.33,0
391,,Nikolay Titkov,0,0,11.19,86.59,3.88,66.67
392,,Vitaliy Gudiev,0,0,42.88,55.98,1.38,36.21
393,,Maksim Nenakhov,0.05,0.05,33.55,77.5,5.5,36.25
394,,Vladimir Poluyakhtov,0,0,13.1,82.44,3.05,47.37
395,,Denis Terentjev,0.13,0,11.25,65.56,2.19,35.48
396,,Roman Yuzepchuk,0.18,0.18,32,70.17,6.91,22.73
397,,Lachezar Kotev,0,0,22,79.55,5.5,25
398,,Maksim Danilin,0,0,3.5,100,1,0
399,,Aleksey Gorodovoy,0,0,25.67,46.1,3.5,40.71
