Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Imad Rondić,0.14,0.07,64.29,0.79,0,0,0.43,0.11,0.04,0.07,0,0.14,0.11,0.11,9.71,63.24,2.5,43.33,0,0,0,0,0.86,0.21,0.04,0,52.63,46.81,0.93,1.14,28
Jan Král,0.05,0,62.5,0.42,0.05,0,1.63,1.11,0,4.42,0.05,0.32,0,0,44.95,73.19,3.37,30.22,0,0.11,0,0,1.47,0.42,0.16,0,48.94,60.48,0.84,0.53,19
Bartosz Pikul,0.06,0,40,1.25,0,0,0.38,0.06,0,0.25,0,0.19,0.13,0.13,11.94,69.11,4,43.75,0,0,0,0,0.56,0.06,0.19,0,28.57,37.29,0.63,0.5,16
Roman Potočný,0.07,0,50,0.97,0,0,0.41,0.24,0,0.52,0,0.14,0,0,12.48,65.47,3.03,48.48,0,0,0,0,1.03,0.17,0.17,0,52.94,44.93,0.62,1.1,29
Lukas Bartosak,0.08,0,40,0.44,0,2,0.88,0.92,0,1.2,0,0.36,0.04,0.04,17.52,59.13,3.56,34.62,0,0.04,0,0,0.92,0.12,0.12,0,41.67,51.02,0.84,0.88,25
Daniel Tetour,0.2,0,0,0.9,0,0,0.6,1.1,0,0.1,0,0.3,0,0,22.6,75.66,6.1,40.91,0,0.1,0,0,1.1,0.2,0.1,0,0,45.45,1.4,1.2,10
Aleš Mandous,0,0,0,0,0,0,0.1,0.1,0,0.3,0,0,0,0,29.9,86.96,1,62.24,1.3,0.4,0.1,0,0.5,0.4,0,0,0,100,0.1,0,10
Jan Mikula,0.05,0,57.14,0.68,0,0,0.95,0.89,0,0.95,0,0.37,0,0.05,25.74,67.89,5.89,38.6,0,0.26,0,0,0.95,0.37,0.11,0,53.33,52.43,1.37,1,19
Jan Shejbal,0,0,50,0.25,0,0,0.13,0.63,0,0.5,0,0,0.13,0.25,16.25,75.38,2.5,56.25,0,0,0,0,0.38,0.38,0,0,16.67,34.78,0.5,0.63,8
Denis Darmovzal,0,0,62.5,0.76,0,0,0.59,0.29,0,0.59,0,0.24,0.06,0,16.35,77.34,4.06,67.57,0,0.12,0,0,0.65,0,0.06,0,0,45.45,0.29,0.47,17
Josef Jindrisek,0.03,0,50,0.59,0,0,1.03,1.21,0,0.91,0,0.29,0.03,0.03,28.5,63.88,5.68,43.43,0,0.24,0,0,1.32,0.24,0.03,0,48.05,56.56,1.38,0.68,34
Jan Hellebrand,0,0,0,0,0,0,0.86,0.14,0,0.14,0,0,0,0,4.14,51.72,1.14,33.33,0,0,0,0,0.43,0,0,0,50,76.92,0.43,0.29,7
Babacar Sy,0.1,0,50,0.8,0,0,0.4,0.1,0,0.3,0,0,0,0,6.8,64.71,2.5,20,0,0,0,0,0.9,0.1,0.2,0,25,34.38,0.3,0.6,10
Filip Vecheta,0.11,0.07,33.33,0.74,0.11,0,0.41,0.19,0,0.19,0,0.07,0,0.04,8.67,58.12,1.85,50,0,0.07,0,0,0.37,0,0.15,0,31.58,39.88,0.93,0.81,27
Krystof Daněk,0.07,0,20.69,0.85,0,0,0.52,0.26,0,0.26,0,0.15,0.07,0.19,14.81,76.75,4.3,60.71,0,0.07,0,0,0.41,0.07,0.11,0,33.33,43.55,1.11,0.81,27
Dele Israel,0.2,0,62.5,0.8,0,0,0.2,1,0,0.8,0,0.4,0,0,14.2,69.01,3,30,0,0,0,0,1,0,0.6,0,50,42.86,0.8,1.2,5
Michal Sáček,0,0,0,0.8,0,0,0.2,0.4,0,0.2,0,0,0,0,9.4,80.85,2,33.33,0,0,0,0,0,0,0,0,0,58.33,1.2,0.6,5
Michal Škoda,0.09,0.05,45.45,0.95,0.05,0,0.23,0.09,0,0.5,0,0.05,0,0,8.95,66.5,2.59,55.56,0,0,0,0,0.86,0.09,0,0,61.9,47.44,0.64,0.64,22
Tomáš Hübschman,0.04,0.04,33.33,0.32,0,0,1.08,1,0,1.76,0,0.48,0.08,0.08,32,69.5,5.24,42.33,0,0.04,0,0,1.44,0.24,0.08,0,53.33,55.96,0.68,0.68,25
Patrik Čavoš,0.04,0,75,0.61,0,0,0.68,0.75,0,0.39,0,0.39,0.04,0.04,22.36,77.96,4.29,50,0,0.04,0,0,1.25,0.07,0,0.04,28,44.44,1,1.21,28
Jiri Boula,0.06,0,33.33,0.59,0,0,0.41,0.47,0,0.65,0,0.35,0,0,15.53,76.14,3.88,42.11,0,0.06,0,0,0.71,0.06,0.12,0,37.5,40,0.65,0.82,17
Abubakar Ghali,0,0.06,57.14,0.44,0,0,1,0.81,0,0.69,0,0.13,0.19,0.06,15.63,74,4.25,39.13,0,0,0,0,0.75,0.06,0.13,0,42.86,51.04,0.94,0.75,16
Martin Polaček,0,0,0,0,0,0,0,0,0,0.83,0.17,0,0,0,29.33,53.98,3.67,38.17,2.67,0.33,0,0,1.5,0.17,0,0,0,50,0.17,0.17,6
Jan Mejdr,0,0,14.29,0.35,0,0,0.81,0.62,0,0.73,0,0.12,0.04,0,20.92,72.98,6.12,37.31,0,0.15,0,0,0.38,0.19,0.15,0,56,46.27,0.96,1.27,26
David Pech,0.04,0,43.75,0.96,0,0,0.83,0.39,0,0.43,0,0.17,0,0.04,24.26,72.58,7.17,36.17,0,0.17,0,0,1.04,0.04,0.13,0,36.36,43.69,0.7,0.78,23
Michal Fukala,0,0,33.33,0.16,0,0,0.79,0.63,0,1,0,0,0.11,0.05,15.37,63.7,3.32,23.68,0,0.11,0,0,0.47,0.21,0,0,50,49.23,0.42,0.42,19
