#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
368,,Mostafa Sobhi,0.1,0.05,13.1,75.64,3.9,35
369,,Mohamed Koko,0,0,21.31,60.7,0.81,35.75
370,,Hussein Faisal,0.07,0.13,24.9,74.7,7.13,53.66
371,,Ahmed Sherif,0,0.05,8.33,68,2.19,63.64
372,,Youssef Labib,0,0,9.67,48.28,1.67,0
373,,Mohamed Zakaria Shika,0,0,15.5,66.13,3,40
374,,Mohamed Samir,0,0,30.08,70.84,1.69,28.57
375,,Ahmed Fathi Hamza,0,0,39.84,78.79,6.77,47.27
376,,Omar El Saaiy,0,0,10.45,77.39,3.45,45.45
377,,Hamdy Alaa,0.05,0,14.76,81.61,2.76,72.09
378,,Mohamed Desouki,0.03,0,35.5,77.73,6.72,42.45
379,,Islam Abdelnaim,0.08,0.04,16.64,82.69,5,47.83
380,,Mohamed Farouk,0,0,24.8,81.85,6.5,30.77
381,,Mohamed Gaber,0.03,0.06,31.42,75.26,6.39,54.61
382,,Yassin Marei,0,0,29.67,78.65,3.17,52
383,,Ahmed Dahesh,0,0,10,57.14,1.57,30
384,,Ahmed El Shimi,0,0,38.03,74.23,6.57,48.92
385,,Mostafa Ibrahim,0,0,20.78,70.05,1.44,34.78
386,,Ahmed Reda,0.08,0,12.42,77.85,3.17,40
387,,Ali Zaazaa,0.05,0,15.35,71.01,4.05,42.86
388,,Omar El Said,0,0,6.6,71.52,1.72,25
389,,Hazem Morsi,0,0,6.95,67.32,2.23,88.89
390,,Austin Amutu,0,0.04,5.63,61.84,0.89,80
391,,Mostafa Dowidar,0,0.06,18.88,71.03,4.12,50
392,,Amr El Morsi,0,0,3,66.67,1,0
393,,Girgis Magdy,0,0,9.67,79.31,2.67,100
394,,Ahmed Ashraf Ahmed,0,0,10.71,70.67,1.71,38.46
395,,Eslam Gaber,0.04,0.04,13.38,77.57,3.42,62
396,,Osama El Gazar,0,0,25.11,86.73,4.67,36.36
